拼多多店铺账务明细查询

起始时间：2026-04-21 00:00:00  终止时间：2026-04-21 23:59:59
----------交易记录明细列表---------
商户订单号,发生时间,收入金额（+元）,支出金额（-元）,账务类型,备注,业务描述
260415-175458229830648,2026-04-21 23:34:48,0,-0.02,技术服务费,-,0030002|技术服务费-基础技术服务费
260415-175458229830648,2026-04-21 23:33:53,0,-2.00,其他,商家小额打款：小额补偿扣款(260415-175458229830648)。用于补偿消费者,0040001|售后费用-小额打款
260421-050101020961051,2026-04-21 23:14:51,0.02,0,技术服务费,基础技术服务费返还,0030002|技术服务费-基础技术服务费
260421-050101020961051,2026-04-21 23:13:35,0,-0.02,技术服务费,-,0030002|技术服务费-基础技术服务费
260417-562875635231707,2026-04-21 22:19:56,0,-0.01,技术服务费,-,0030002|技术服务费-基础技术服务费
260418-596901968172444,2026-04-21 22:19:56,0,-0.02,技术服务费,-,0030002|技术服务费-基础技术服务费
260421-138978291333202,2026-04-21 22:14:56,0.02,0,技术服务费,基础技术服务费返还,0030002|技术服务费-基础技术服务费
260421-138978291333202,2026-04-21 22:13:46,0,-0.02,技术服务费,-,0030002|技术服务费-基础技术服务费
260418-628359227791361,2026-04-21 22:10:12,0,-0.01,技术服务费,-,0030002|技术服务费-基础技术服务费
260417-424253877791283,2026-04-21 21:59:59,0,-0.01,技术服务费,-,0030002|技术服务费-基础技术服务费
260420-359619653271513,2026-04-21 21:29:59,0,-0.03,技术服务费,-,0030002|技术服务费-基础技术服务费
260421-496448325170934,2026-04-21 21:10:02,0.02,0,技术服务费,基础技术服务费返还,0030002|技术服务费-基础技术服务费
260421-496448325170934,2026-04-21 21:05:24,0,-0.02,技术服务费,-,0030002|技术服务费-基础技术服务费
260421-010076833392070,2026-04-21 21:05:03,0.02,0,技术服务费,基础技术服务费返还,0030002|技术服务费-基础技术服务费
260421-010076833392070,2026-04-21 21:03:03,0,-0.02,技术服务费,-,0030002|技术服务费-基础技术服务费
260419-427609331311483,2026-04-21 20:56:37,0,-0.02,技术服务费,-,0030002|技术服务费-基础技术服务费
260418-360689252741226,2026-04-21 20:45:01,0,-0.02,技术服务费,-,0030002|技术服务费-基础技术服务费
260413-149065592373256,2026-04-21 20:45:01,0,-0.02,技术服务费,-,0030002|技术服务费-基础技术服务费
260412-044459650682347,2026-04-21 20:45:01,0,-0.02,技术服务费,-,0030002|技术服务费-基础技术服务费
260421-259333865802193,2026-04-21 20:15:06,0.03,0,技术服务费,基础技术服务费返还,0030002|技术服务费-基础技术服务费
260421-259333865802193,2026-04-21 20:11:48,0,-0.03,技术服务费,-,0030002|技术服务费-基础技术服务费
260418-153983393362919,2026-04-21 20:10:04,0,-0.02,技术服务费,-,0030002|技术服务费-基础技术服务费
260414-240931367273134,2026-04-21 20:00:07,0,-0.02,技术服务费,-,0030002|技术服务费-基础技术服务费
260421-324859410820922,2026-04-21 19:55:06,0.02,0,技术服务费,基础技术服务费返还,0030002|技术服务费-基础技术服务费
260421-324859410820922,2026-04-21 19:53:04,0,-0.02,技术服务费,-,0030002|技术服务费-基础技术服务费
